nome_completo;apelido;data_nascimento;posicao;pe_pref;altura_cm;peso_kg;raca;sexo;dobra_triceps;dobra_subescapular;dobra_suprailiaca;dobra_abdominal;dobra_coxa;dobra_panturilha;perimetro_braco;perimetro_coxa;perimetro_perna;dobra_peitoral;dobra_axiliar_media;cidade_nascimento;uf_nascimento;pais_nascimento;ogol_id;data_bioimpedancia
Fernando Lucas Fernandes da Silva;Fernando;2008-12-09;Meia;;;;;Masculino;;;;;;;;;;;;;RJ;BRA;3495276;
Nicollas Daniel da Silva de Carvalho;Nicollas;2007-02-27;Goleiro;;;;;Masculino;;;;;;;;;;;;;;BRA;1265362;
Cleidson Negris Silva;Negris;2006-11-03;Goleiro;;;;;Masculino;;;;;;;;;;;;;;BRA;2472707;
Matheus Ribeiro Lopes;Matheus Lopes;2006-10-05;Lateral Esquerdo/Zagueiro;C;185;75.0;;Masculino;;;;;;;;;;;;;;BRA;1458734;
Richardy de Oliveira Silva;Richardy;2007-10-08;Atacante;;;;;Masculino;;;;;;;;;;;;;;BRA;1204149
Kledyson Fernandes Soares;Kledyson;2006-12-05;Meia;;;;;Masculino;;;;;;;;;;;;;;BRA;1458735;
Hugo Lima Neves;Hugo;2008-06-03;Zagueiro;;;;;Masculino;;;;;;;;;;;;;;BRA;3515123;
Luiz Antônio de Castro Bolonha Pinto;Luiz Antônio;2006-10-05;Zagueiro;;;;;Masculino;;;;;;;;;;;;;;BRA;3515130;
Felipe Santos Cunha;Felipin;2009-04-29;Defensor;;;;;Masculino;;;;;;;;;;;;;;BRA;3515126;
André Motta Silvestre;André;2007-09-09;Lateral Direito;;;;;Masculino;;;;;;;;;;;;;;BRA;3515122;
João Luiz Almeida Machado;João Luiz;2008-04-07;Lateral Esquerdo;;;;;Masculino;;;;;;;;;;;;;;BRA;3515129;
Gustavo de Carvalho Teixeira;Gustavo Carvalho;2007-04-26;Zagueiro;;;;;Masculino;;;;;;;;;;;;;;BRA;3515124;
Davi Barroso Tavares da Silva;Davi Carioca;2007-10-03;Zagueiro / Volante;D;;;;Masculino;;;;;;;;;;;;;;BRA;3494740;
Marcos Vinicius Nunes de Paulo;Marcos Vinicius;2007-07-05;Meia;;;;;Masculino;;;;;;;;;;;;;;BRA;3515120;
Gustavo Pereira de Castro;Gustavo Pereira;2008-09-07;Atacante;;;;;Masculino;;;;;;;;;;;;;;BRA;3515119;
Richard Wenddell de Oliveira Andrade;Richard;2008-03-31;Atacante;;;;;Masculino;;;;;;;;;;;;;;BRA;3515121;
Gabriel Antônio de Souza Mariano;Gabriel Antônio;2007-02-02;Atacante;D;175;;;Masculino;;;;;;;;;;;;Barra de São Francisco;ES;BRA;3515127;
Natan Costa Ambrosio;Natan;2008-04-09;Zagueiro;D;188;;;Masculino;;;;;;;;;;;;Bom Jesus do Norte;ES;BRA;3517563;
Richard Moreira Verneck;Verneck;2007-05-07;Defensor;;;;;Masculino;;;;;;;;;;;;;;BRA;3517566;
Vinicius Irineu Lemos;Irineu;2007-01-28;Atacante;;;;;Masculino;;;;;;;;;;;;;;BRA;3517565;
Daniel Pereira Temoteo;Daniel Pereira;2007-05-15;Atacante;;;;;Masculino;;;;;;;;;;;;;;BRA;2539352;
Robert de Andrade Oliveira;Robert;2006-06-11;Atacante;D;;;;Masculino;;;;;;;;;;;;;;BRA;3508193;
Daniel Matheus Santana dos Santos;Daniel Matheus;2007-01-11;Atacante;D;;;;Masculino;;;;;;;;;;;;;;BRA;1738757;
Raul Senna Bolzan;Raul;2008-10-26;Meia;;;;;Masculino;;;;;;;;;;;;;;BRA;1175697;
Gustavo Vitor Marinho Neves;Gustavo Vitor;2008-02-27;Meia;;;;;Masculino;;;;;;;;;;;;;;BRA;3517567;
Vinicius da Silva Cunha Guedes;Vinicius;2006-04-17;Zagueiro;;;;;Masculino;;;;;;;;;;;;;;BRA;3517568;
Kairon Higor Fernandes Fagundes;Kairon;2009-05-24;Ponta;;;;;Masculino;;;;;;;;;;;;;;BRA;1810054;
Fabiano Ribeiro Rigamont Gomes;Fabiano Ribeiro;2008-11-12;Zagueiro;;;;;Masculino;;;;;;;;;;;;;;BRA;3517569;
Marcelo Breno de Jesus Costa;Marcelo Costa;2008-01-16;Zagueiro;;;;;Masculino;;;;;;;;;;;;;;BRA;1521964;
Renan dos Santos Figueira;Renan;2006-07-27;Zagueiro;;;;;Masculino;;;;;;;;;;;;;;BRA;1815750;
Arthur Jacinto Pereira;Arthur Pereira;2006-10-13;Meia;;;;;Masculino;;;;;;;;;;;;;;BRA;2483114;
Jaelton Barbosa Santos;Jaelton;2006-01-22;Meia;;;;;Masculino;;;;;;;;;;;;;;BRA;2782731;
Murilo Milani de Araujo;Murilo;2008-10-30;Meia;D;;;;Masculino;;;;;;;;;;;;;;BRA;1935118;
