nome_completo;apelido;data_nascimento;posicao;pe_pref;altura_cm;peso_kg;raca;sexo;dobra_triceps;dobra_subescapular;dobra_suprailiaca;dobra_abdominal;dobra_coxa;dobra_panturilha;perimetro_braco;perimetro_coxa;perimetro_perna;dobra_peitoral;dobra_axiliar_media;cidade_nascimento;uf_nascimento;pais_nascimento;ogol_id;data_bioimpedancia
Lucas Jorge Pacheco Ferreira; Lucão; 1997-09-25;Goleiro;D;199;96.0;;Masculino;;;;;;;;;;;;Três Rios;RJ;BRA;662435;
João Victor Gomes dos Santos Alves; João Victor; 2003-07-07;Goleiro;D;185;78.0;;Masculino;;;;;;;;;;;;Mimoso do Sul;ES;BRA;982334;
Jeferson David Palacios Cantillo; Jeferson Palacios; 2000-01-03;Zagueiro;D;187;90.0;;Masculino;;;;;;;;;;;;Rioacha;La Guajira;COL;787886;
Alexis Sánchez Florentin; Alexis Sánchez; 2004-06-20;Lateral Direito / Ponta-Direita;D;178;73.0;;Masculino;;;;;;;;;;;;San Isidro;Buenos Aires;ARG;1521958;
Fabiano Ribeiro Rigamont Gomes;Fabiano Ribeiro;2008-11-12;Zagueiro;;;;;Masculino;;;;;;;;;;;;;;BRA;3517569;
Gabriel Amorim de Aguiar;Gabriel Amorim; 2004-07-27;Volante / Zagueiro / Lateral Direito;D;;;;Masculino;;;;;;;;;;;;Serra;ES;BRA;1542489;
João Victor Rozário da Rocha;João Rozário;2003-02-23;Meia-Central / Lateral Esquerdo;C;180;72.0;;Masculino;;;;;;;;;;;;Cariacica;ES;BRA;902427;
Wesley Emannuel Augusto Almeida;Wesley;2005-07-23;Meia-Central;D;;;;Masculino;;;;;;;;;;;;;RJ;BRA;3497808;
João Pedro Firmino Oliveira;João Firmino;2001-11-09;Volante / Lateral Direito;D;175;74.0;;Masculino;;;;;;;;;;;;Cariacica;ES;BRA;649473;
Virgílio Santos Borges;Borjão;1996-06-11;Volante;D;186;76.0;;Masculino;;;;;;;;;;;;Salvador;BA;BRA;481421;
Fábio Goncalves de Souza;Fábio Makelelé;1996-04-09;Lateral Direito / Volante;D;178;71.0;;Masculino;;;;;;;;;;;;Santo Antônio de Pádua;RJ;BRA;499969;
Daniel dos Santos Rodrigues do Nascimento;Daniel Rodrigues;2000-03-21;Centroavante;D;183;90.0;;Masculino;;;;;;;;;;;;Niterói;RJ;BRA;692782;
Davis Almeida Paiva dos Santos;Davis;2005-05-13;Ponta Esquerda / Centroavante;D;181;82.0;;Masculino;;;;;;;;;;;;Serra;ES;BRA;877821;
Lucas da Costa Bonete;Lucas Bonete;2002-02-12;Meia Atacante / Ponta Direita / Centroavante / Segundo Atacante;C;181;72.0;;Masculino;;;;;;;;;;;;Porto Alegre;RS;BRA;690475;
Emanuel Lopes da Silva;Emanuel;2005-12-09;Centroavante / Ponta Esquerda / Segundo Atacante;D;173;71.0;;Masculino;;;;;;;;;;;;;;BRA;975154;
Jarles Pereira de Santana;Jarles Baiano;1996-03-16;Centroavante;D;176;90.0;;Masculino;;;;;;;;;;;;;Itabela;BA;BRA;450048;
Peterson Lucas Almeida França;Peterson;2001-10-30;Meia Atacante;C;167;70.0;;Masculino;;;;;;;;;;;;;Vitória;ES;BRA;777047;
Marcelo Breno de Jesus Costa;Marcelo Costa;2008-01-16;Zagueiro;;;;;Masculino;;;;;;;;;;;;;;;BRA;1521964;
José Vitor Neves Leal;José Vitor;2000-07-26;Zagueiro;D;190;89.0;;Masculino;;;;;;;;;;;;Rio de Janeiro;RJ;BRA;854889;
Gabriel Ferreira dos Santos;Gabriel Santos;1999-02-19;Lateral Esquerdo;C;181;73.0;;Masculino;;;;;;;;;;;;Vitória;ES;BRA;650970;
Diego Andrade Gonçalves;Diego Andarde;1994-05-08;Volante;D;187;73.0;;Masculino;;;;;;;;;;;;;BA;BRA;707509;
Marcílio Reis do Nascimento;Marcílio;2004-04-28;Ponta Direita / Ponta Esquerda;C;;;;Masculino;;;;;;;;;;;;;;BRA;1634886;
Rhamon Marcellino Oliveira;Rhamon Mexicano;1994-09-27;Zagueiro;C;187;;;Masculino;;;;;;;;;;;;Vitória;ES;BRA;480809;
Hugo Lima Neves;Hugo;2008-06-03;Zagueiro;;;;;Masculino;;;;;;;;;;;;;;BRA;3515123;
Arthur Jacinto Pereira;Arthur Pereira;2006-10-13;Volante;;;;;Masculino;;;;;;;;;;;;;;BRA;2483114;
Cleidson Negris Silva;Negris;2006-11-03;Goleiro;;;;;Masculino;;;;;;;;;;;;;;BRA;2472707;
Stuart Asafe Ferreira Alves;Stuart;1998-07-19;Ponta Dirita / Meia Atacante;A;173;70.0;;Masculino;;;;;;;;;;;;Linhares;ES;BRA;619320;
Richardy de Oliveira Silva;Richardy;2007-10-08;Ponta;;;;;Masculino;;;;;;;;;;;;;;BRA;1204149;
Marlon Carvalho de Castro;Marlon;1996-03-20;Ponta Esquerda / Meia Atacante;D;178;76.0;;Masculino;;;;;;;;;;;;Pedro Canário;ES;BRA;505514;
Roberto Mário Durango Pacheco;Roberto Durango;2004-03-09;Meia-Central;D;178;74.0;;Masculino;;;;;;;;;;;;Cerete;Cordoba;COL;3547576;
